         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      127    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:729(get_code)
      503    0.002    0.000    0.004    0.000 __init__.py:2542(__getattr__)
       34    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      728    0.002    0.000    0.005    0.000 __init__.py:2142(_normalize_cached)
    162/4    0.002    0.000    0.702    0.176 <frozen importlib._bootstrap>:966(_find_and_load)
    155/1    0.002    0.000    0.695    0.695 <frozen importlib._bootstrap>:659(_load_unlocked)
      285    0.002    0.000    0.038    0.000 __init__.py:1381(safe_version)
     1499    0.002    0.000    0.002    0.000 {built-in method _sre.getlower}
      151    0.002    0.000    0.005    0.000 __init__.py:738(add)
      147    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
       71    0.002    0.000    0.018    0.000 __init__.py:2587(insert_on)
      127    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
      933    0.002    0.000    0.002    0.000 sre_parse.py:105(__init__)
      636    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x84d3e00}
      360    0.002    0.000    0.004    0.000 sre_compile.py:386(_simple)
     1809    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     1005    0.002    0.000    0.002    0.000 version.py:207(<genexpr>)
      640    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
      107    0.002    0.000    0.004    0.000 copy.py:269(_reconstruct)
      181    0.002    0.000    0.005    0.000 enum.py:51(__setitem__)
      530    0.002    0.000    0.003    0.000 posixpath.py:39(_get_sep)
      285    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     1197    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
    162/4    0.002    0.000    0.702    0.175 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
     1005    0.002    0.000    0.002    0.000 version.py:244(<genexpr>)
      417    0.002    0.000    0.003    0.000 __init__.py:2333(<lambda>)
       21    0.002    0.000    0.018    0.001 __init__.py:356(namedtuple)
     1032    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      140    0.002    0.000    0.002    0.000 {method 'splitlines' of 'str' objects}
      110    0.002    0.000    0.176    0.002 sre_parse.py:819(parse)
        6    0.002    0.000    0.007    0.001 enum.py:547(<dictcomp>)
       73    0.002    0.000    0.003    0.000 posixpath.py:145(dirname)
      127    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
       72    0.002    0.000    0.006    0.000 __init__.py:1859(get_metadata)
      225    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
      437    0.002    0.000    0.002    0.000 __init__.py:2415(key)
      633    0.001    0.000    0.003    0.000 {built-in method builtins.setattr}
      139    0.001    0.000    0.030    0.000 {built-in method builtins.next}
      107    0.001    0.000    0.006    0.000 copy.py:67(copy)
      139    0.001    0.000    0.051    0.000 __init__.py:2328(_version_from_file)
      495    0.001    0.000    0.002    0.000 sre_parse.py:75(groups)
        1    0.001    0.001    0.004    0.004 six.py:1(<module>)
      225    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:94(acquire)
        9    0.001    0.000    0.002    0.000 datetime.py:338(__new__)
      226    0.001    0.000    0.002    0.000 enum.py:301(__setattr__)
      468    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:856(__exit__)
      331    0.001    0.000    0.002    0.000 socket.py:81(<lambda>)
       71    0.001    0.000    0.026    0.000 __init__.py:2506(activate)
