         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      142    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       37    0.000    0.000    0.000    0.000 os.py:796(encode)
     20/8    0.000    0.000    0.003    0.000 pyparsing.py:2521(parseImpl)
        9    0.000    0.000    0.000    0.000 gettext.py:113(_expand_lang)
       37    0.000    0.000    0.000    0.000 os.py:720(__getitem__)
       37    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 __init__.py:259(<dictcomp>)
        1    0.000    0.000    0.010    0.010 tokenize.py:21(<module>)
       95    0.000    0.000    0.000    0.000 pyparsing.py:168(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      104    0.000    0.000    0.000    0.000 pyparsing.py:1443(setWhitespaceChars)
       29    0.000    0.000    0.001    0.000 argparse.py:1556(_add_action)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:811(get_filename)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:656(create_module)
        1    0.000    0.000    0.002    0.002 m68k.py:3(<module>)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      113    0.000    0.000    0.000    0.000 pyparsing.py:2387(<genexpr>)
      147    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.013    0.013 socket.py:47(<module>)
       77    0.000    0.000    0.000    0.000 __init__.py:1896(__init__)
       83    0.000    0.000    0.000    0.000 pyparsing.py:1487(__str__)
       12    0.000    0.000    0.000    0.000 enum.py:406(_find_new_)
       20    0.000    0.000    0.001    0.000 ipaddress.py:1099(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 x86_const.py:3(<module>)
       43    0.000    0.000    0.000    0.000 six.py:105(__init__)
       25    0.000    0.000    0.000    0.000 posixpath.py:61(isabs)
    25/15    0.000    0.000    0.005    0.000 pyparsing.py:2368(copy)
       21    0.000    0.000    0.001    0.000 __init__.py:1927(find_distributions)
      119    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.001    0.001 m680x.py:3(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1734(_parse_hextet)
        1    0.000    0.000    0.001    0.001 sparc.py:3(<module>)
    25/15    0.000    0.000    0.003    0.000 pyparsing.py:2370(<listcomp>)
        6    0.000    0.000    0.015    0.002 enum.py:532(_convert)
      111    0.000    0.000    0.000    0.000 pyparsing.py:2517(<genexpr>)
       12    0.000    0.000    0.000    0.000 enum.py:361(_get_mixins_)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1781(parseImpl)
        1    0.000    0.000    0.008    0.008 pyparsing.py:3488(_makeTags)
       22    0.000    0.000    0.000    0.000 __init__.py:2844(_find_adapter)
       28    0.000    0.000    0.001    0.000 pyparsing.py:3027(__init__)
       26    0.000    0.000    0.000    0.000 pyparsing.py:1816(__str__)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.003    0.003 datetime.py:5(<module>)
        1    0.000    0.000   66.334   66.334 core.py:192(analyze)
       29    0.000    0.000    0.000    0.000 argparse.py:1481(_pop_action_class)
       27    0.000    0.000    0.000    0.000 {method 'finditer' of '_sre.SRE_Pattern' objects}
       47    0.000    0.000    0.000    0.000 zipfile.py:436(_decodeExtra)
       72    0.000    0.000    0.000    0.000 __init__.py:1853(__init__)
        1    0.000    0.000    0.000    0.000 ppc_const.py:3(<module>)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3260(_escapeRegexRangeChars)
       47    0.000    0.000    0.000    0.000 cp437.py:14(decode)
        4    0.000    0.000    1.258    0.315 __init__.py:9(<module>)
        1    0.000    0.000    0.017    0.017 ssl.py:88(<module>)
       27    0.000    0.000    0.000    0.000 __init__.py:2149(_is_unpacked_egg)
       71    0.000    0.000    0.000    0.000 __init__.py:958(_added_new)
       47    0.000    0.000    0.000    0.000 zipfile.py:1194(getinfo)
        3    0.000    0.000    0.006    0.002 __init__.py:796(__init__)
       29    0.000    0.000    0.002    0.000 argparse.py:2353(_get_formatter)
        1    0.000    0.000    0.011    0.011 args.py:28(__parse)
       72    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
       40    0.000    0.000    0.000    0.000 pyparsing.py:2555(<genexpr>)
       94    0.000    0.000    0.000    0.000 pyparsing.py:3503(<genexpr>)
       74    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       34    0.000    0.000    0.000    0.000 argparse.py:1279(register)
       15    0.000    0.000    0.000    0.000 __init__.py:387(_setup_prototype)
       17    0.000    0.000    0.000    0.000 {built-in method posix.access}
        1    0.000    0.000    0.001    0.001 argparse.py:1741(parse_known_args)
      107    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     11/5    0.000    0.000    0.003    0.001 pyparsing.py:2293(leaveWhitespace)
       49    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1301(path_hook_for_FileFinder)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2434(<genexpr>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:496(__iadd__)
        1    0.000    0.000    0.000    0.000 mips_const.py:3(<module>)
        1    0.000    0.000    0.103    0.103 client.py:69(<module>)
       75    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       12    0.000    0.000    0.000    0.000 enum.py:99(<dictcomp>)
        1    0.000    0.000    0.001    0.001 argparse.py:1776(_parse_known_args)
       10    0.000    0.000    0.000    0.000 sre_compile.py:379(_bytes_to_codes)
       15    0.000    0.000    0.000    0.000 __init__.py:364(__getitem__)
       74    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
      8/7    0.000    0.000    0.063    0.009 <frozen importlib._bootstrap>:630(_load_backward_compatible)
        1    0.000    0.000    0.001    0.001 tms320c64x.py:3(<module>)
       47    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
        1    0.000    0.000    0.001    0.001 universal.py:9(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
        3    0.000    0.000    0.002    0.001 argparse.py:1227(__init__)
        1    0.000    0.000    0.033    0.033 subprocess.py:356(<module>)
        1    0.000    0.000    0.004    0.004 parse.py:28(<module>)
       29    0.000    0.000    0.000    0.000 argparse.py:794(__init__)
        1    0.000    0.000    0.554    0.554 elf.py:9(<module>)
       11    0.000    0.000    0.002    0.000 pyparsing.py:2297(<listcomp>)
       35    0.000    0.000    0.000    0.000 datetime.py:247(_check_int_field)
       48    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
       15    0.000    0.000    0.000    0.000 __init__.py:357(__getattr__)
        1    0.000    0.000    0.001    0.001 evm.py:3(<module>)
       45    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       29    0.000    0.000    0.000    0.000 argparse.py:574(format)
       17    0.000    0.000    0.003    0.000 pyparsing.py:846(setResultsName)
       72    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        1    0.000    0.000    0.001    0.001 tarfile.py:30(<module>)
        1    0.000    0.000    0.015    0.015 threading.py:1(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
       29    0.000    0.000    0.001    0.000 argparse.py:1714(_add_action)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.009    0.009 plistlib.py:47(<module>)
       16    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
        1    0.000    0.000    0.000    0.000 __init__.py:2917(_initialize)
       13    0.000    0.000    0.001    0.000 posixpath.py:355(abspath)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       12    0.000    0.000    0.000    0.000 pyparsing.py:3398(<lambda>)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1493(streamline)
       24    0.000    0.000    0.000    0.000 pyparsing.py:321(__getitem__)
        5    0.000    0.000    0.063    0.013 __init__.py:34(load_module)
       10    0.000    0.000    0.000    0.000 pyparsing.py:2854(__init__)
       12    0.000    0.000    0.004    0.000 posixpath.py:369(realpath)
        1    0.000    0.000    0.005    0.005 random.py:37(<module>)
       66    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 __init__.py:1611(build)
        2    0.000    0.000    0.002    0.001 pyparsing.py:1906(__init__)
       47    0.000    0.000    0.000    0.000 ipaddress.py:607(__init__)
       12    0.000    0.000    0.004    0.000 __init__.py:2138(normalize_path)
       12    0.000    0.000    0.000    0.000 pyparsing.py:774(wrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:348(_cs_detail)
        1    0.000    0.000    0.005    0.005 signal.py:1(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:2837(_get_mro)
       15    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.011    0.011 shutil.py:5(<module>)
        1    0.000    0.000    0.059    0.059 utils.py:5(<module>)
       10    0.000    0.000    0.000    0.000 re.py:240(escape)
        1    0.000    0.000    0.000    0.000 arm64_const.py:3(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:553(__eq__)
        1    0.000    0.000    0.064    0.064 platform.py:10(<module>)
        3    0.000    0.000    0.001    0.000 argparse.py:1844(consume_optional)
       43    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
       36    0.000    0.000    0.000    0.000 pyparsing.py:174(__init__)
     11/4    0.000    0.000    0.001    0.000 pyparsing.py:2692(streamline)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.004    0.004 ipaddress.py:2264(_IPv6Constants)
       29    0.000    0.000    0.000    0.000 argparse.py:565(_metavar_formatter)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.003    0.003 ropmaker.py:9(<module>)
        1    0.000    0.000    0.003    0.003 zipfile.py:5(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:737(create_module)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
        9    0.000    0.000    0.000    0.000 posixpath.py:99(split)
        1    0.000    0.000    0.013    0.013 tempfile.py:24(<module>)
       41    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       29    0.000    0.000    0.000    0.000 argparse.py:1494(_check_conflict)
        1    0.000    0.000    0.001    0.001 pe.py:9(<module>)
       62    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.001    0.001 calendar.py:6(<module>)
        1    0.000    0.000    0.001    0.001 xcore.py:3(<module>)
       10    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        2    0.000    0.000    0.001    0.000 pyparsing.py:3342(originalTextFor)
        1    0.000    0.000    0.000    0.000 sysz_const.py:3(<module>)
        1    0.000    0.000    0.142    0.142 __init__.py:2927(_initialize_master_working_set)
    12/11    0.000    0.000    0.000    0.000 pyparsing.py:2429(__str__)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
        1    0.000    0.000    0.000    0.000 arm_const.py:3(<module>)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
     11/5    0.000    0.000    0.005    0.001 pyparsing.py:2673(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 macho.py:9(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:111(group)
       11    0.000    0.000    0.000    0.000 __init__.py:22(find_module)
        3    0.000    0.000    0.000    0.000 __init__.py:424(cs_version)
       14    0.000    0.000    0.000    0.000 argparse.py:836(__init__)
       29    0.000    0.000    0.000    0.000 argparse.py:205(__init__)
        1    0.000    0.000    0.000    0.000 x86.py:56(CsX86)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 sparc.py:41(CsSparc)
        1    0.000    0.000    0.007    0.007 __init__.py:2630(check_version_conflict)
        6    0.000    0.000    0.001    0.000 pyparsing.py:3421(<lambda>)
        1    0.000    0.000    0.001    0.001 errors.py:9(<module>)
        7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:903(create_module)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3268(oneOf)
        1    0.000    0.000    0.002    0.002 dbapi2.py:23(<module>)
       17    0.000    0.000    0.000    0.000 pyparsing.py:838(setName)
     16/2    0.000    0.000    0.004    0.002 pyparsing.py:2667(parseImpl)
        1    0.000    0.000    0.005    0.005 sysconfig.py:10(<module>)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1558(_IPv4Constants)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2550(__str__)
       14    0.000    0.000    0.000    0.000 argparse.py:871(__init__)
       46    0.000    0.000    0.000    0.000 pyparsing.py:965(postParse)
       21    0.000    0.000    0.000    0.000 pkgutil.py:397(get_importer)
       14    0.000    0.000    0.000    0.000 argparse.py:894(__init__)
       32    0.000    0.000    0.000    0.000 enum.py:140(<genexpr>)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.015    0.015 charset.py:6(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:84(__prepare__)
       15    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.007    0.007 ipaddress.py:9(<module>)
        1    0.000    0.000    0.001    0.001 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.027    0.027 version.py:4(<module>)
       18    0.000    0.000    0.000    0.000 pyparsing.py:373(__bool__)
       13    0.000    0.000    0.000    0.000 raw.py:27(getArch)
        3    0.000    0.000    0.000    0.000 __init__.py:1550(_setup_prefix)
       15    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.064    0.064 specifiers.py:4(<module>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        1    0.000    0.000    0.073    0.073 message.py:5(<module>)
        9    0.000    0.000    0.000    0.000 locale.py:375(normalize)
        1    0.000    0.000    0.014    0.014 core.py:9(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:911(exec_module)
        1    0.000    0.000    0.003    0.003 hashlib.py:53(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:5(<module>)
       25    0.000    0.000    0.000    0.000 ipaddress.py:433(_ip_int_from_prefix)
        1    0.000    0.000    0.000    0.000 m68k.py:87(CsM68K)
       21    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        5    0.000    0.000    0.000    0.000 datetime.py:264(_check_date_fields)
        1    0.000    0.000    0.004    0.004 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
       17    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        2    0.000    0.000    0.003    0.002 pyparsing.py:2809(parseImpl)
        1    0.000    0.000    0.000    0.000 enum.py:453(Enum)
        1    0.000    0.000    0.005    0.005 header.py:5(<module>)
        1    0.000    0.000    1.048    1.048 gadgets.py:296(addSYSGadgets)
       11    0.000    0.000    0.000    0.000 opcode.py:45(name_op)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1825(charsAsStr)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2711(__str__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        3    0.000    0.000    0.000    0.000 __init__.py:837(__del__)
        1    0.000    0.000    0.005    0.005 argparse.py:1605(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        3    0.000    0.000    0.000    0.000 core.py:33(__checksBeforeManipulations)
       14    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
        7    0.000    0.000    0.008    0.001 enum.py:215(__call__)
       12    0.000    0.000    0.000    0.000 enum.py:47(__init__)
        1    0.000    0.000    0.000    0.000 m68k_const.py:2(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:330(__setitem__)
       12    0.000    0.000    0.002    0.000 pyparsing.py:1413(__call__)
        2    0.000    0.000    0.004    0.002 __init__.py:1639(load)
        1    0.000    0.000    0.000    0.000 errors.py:90(NonPrintableDefect)
        1    0.000    0.000    0.003    0.003 __init__.py:23(<module>)
       19    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       12    0.000    0.000    0.000    0.000 posixpath.py:50(normcase)
        1    0.000    0.000    0.079    0.079 feedparser.py:20(<module>)
        6    0.000    0.000    0.005    0.001 pyparsing.py:3047(__init__)
       34    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        6    0.000    0.000    0.000    0.000 hashlib.py:98(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.118    0.118 args.py:9(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:195(<listcomp>)
        1    0.000    0.000    0.000    0.000 arm.py:64(CsArm)
        6    0.000    0.000    0.000    0.000 __init__.py:436(cs_support)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1624(parseImpl)
        1    0.000    0.000    0.057    0.057 __init__.py:621(_build_master)
        5    0.000    0.000    0.000    0.000 datetime.py:277(_check_time_fields)
        3    0.000    0.000    0.000    0.000 argparse.py:2235(_get_values)
        4    0.000    0.000    0.000    0.000 __init__.py:212(_declare_state)
        1    0.000    0.000    0.000    0.000 sparc_const.py:3(<module>)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 m680x_const.py:2(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:1823(take_action)
        7    0.000    0.000    0.000    0.000 binary.py:62(getArch)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.009    0.009 string.py:15(<module>)
        1    0.000    0.000   35.815   35.815 gadgets.py:146(addJOPGadgets)
       10    0.000    0.000    0.000    0.000 enum.py:260(__getattr__)
        1    0.000    0.000    0.000    0.000 options.py:9(<module>)
        1    0.000    0.000    0.000    0.000 arm64.py:79(CsArm64)
        1    0.000    0.000    0.000    0.000 systemz.py:42(CsSysz)
        1    0.000    0.000    0.000    0.000 ppc.py:52(CsPpc)
        1    0.000    0.000    0.000    0.000 xcore.py:42(CsXcore)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 m680x.py:79(CsM680x)
        7    0.000    0.000    0.000    0.000 binary.py:65(getArchMode)
       10    0.000    0.000    0.000    0.000 __init__.py:14(search_path)
        1    0.000    0.000    0.000    0.000 tms320c64x.py:56(CsTMS320C64x)
        1    0.000    0.000    0.000    0.000 evm_const.py:3(<module>)
        5    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
        9    0.000    0.000    0.000    0.000 pyparsing.py:1429(suppress)
       13    0.000    0.000    0.000    0.000 functools.py:73(wraps)
        1    0.000    0.000    0.003    0.003 bz2.py:5(<module>)
       18    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       10    0.000    0.000    0.000    0.000 version.py:389(<genexpr>)
        1    0.000    0.000    0.006    0.006 _policybase.py:4(<module>)
        1    0.000    0.000    0.057    0.057 __init__.py:608(__init__)
        1    0.000    0.000    0.055    0.055 specifiers.py:275(Specifier)
        4    0.000    0.000    0.005    0.001 __init__.py:1933(find_eggs_in_zip)
       10    0.000    0.000    0.000    0.000 version.py:338(<genexpr>)
        1    0.000    0.000    0.000    0.000 mips.py:40(CsMips)
        1    0.000    0.000    0.000    0.000 __init__.py:795(Cs)
        3    0.000    0.000    0.000    0.000 datetime.py:1319(__new__)
        1    0.000    0.000    0.000    0.000 ropmakerx86.py:10(<module>)
        1    0.000    0.000    0.080    0.080 parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.013    0.013 traceback.py:1(<module>)
        6    0.000    0.000    0.000    0.000 binary.py:68(getEndian)
        3    0.000    0.000    0.000    0.000 argparse.py:2051(_match_argument)
        1    0.000    0.000    0.000    0.000 ropmakerx64.py:11(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:234(_EndRecData)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.115    0.115 updateAlert.py:9(<module>)
        1    0.000    0.000    0.000    0.000 gadgets.py:9(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:192(total_ordering)
        3    0.000    0.000    0.000    0.000 six.py:195(load_module)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        2    0.000    0.000    0.000    0.000 argparse.py:1534(__init__)
        1    0.000    0.000    0.001    0.001 enum.py:1(<module>)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3286(<lambda>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2873(__str__)
        2    0.000    0.000    0.006    0.003 pyparsing.py:3404(srange)
        1    0.000    0.000    0.000    0.000 raw.py:9(<module>)
        1    0.000    0.000    0.003    0.003 zipfile.py:981(__init__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2770(__init__)
        7    0.000    0.000    0.000    0.000 opcode.py:49(jrel_op)
       15    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        4    0.000    0.000    0.000    0.000 ssl.py:330(__new__)
       10    0.000    0.000    0.000    0.000 enum.py:285(__members__)
        6    0.000    0.000    0.000    0.000 opcode.py:53(jabs_op)
        5    0.000    0.000    0.000    0.000 functools.py:422(decorating_function)
        1    0.000    0.000    0.000    0.000 sysconfig.py:598(get_platform)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        6    0.000    0.000    0.000    0.000 raw.py:57(getEndian)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        5    0.000    0.000    0.000    0.000 pyparsing.py:2127(__init__)
        1    0.000    0.000    0.001    0.001 message.py:106(Message)
        1    0.000    0.000   26.753   26.753 gadgets.py:82(addROPGadgets)
        1    0.000    0.000    0.000    0.000 tms320c64x_const.py:3(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:264(__getitem__)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
        1    0.000    0.000    0.009    0.009 string.py:65(__init__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:599(__contains__)
       17    0.000    0.000    0.000    0.000 pyparsing.py:1435(leaveWhitespace)
        2    0.000    0.000    0.005    0.003 pyparsing.py:1096(parseString)
        2    0.000    0.000    0.000    0.000 __init__.py:331(__init__)
       10    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.014    0.014 util.py:1(<module>)
        3    0.000    0.000    0.002    0.001 gettext.py:490(dgettext)
        1    0.000    0.000    0.000    0.000 specifiers.py:21(BaseSpecifier)
        1    0.000    0.000    0.000    0.000 lzma.py:37(LZMAFile)
        1    0.000    0.000    0.002    0.002 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1311(datetime)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:47(_localized_month)
        1    0.000    0.000    0.000    0.000 <string>:5(_Version)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3076(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:2349(_ParameterKind)
       15    0.000    0.000    0.000    0.000 _collections_abc.py:308(__subclasshook__)
        7    0.000    0.000    0.000    0.000 raw.py:43(getArchMode)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3165(delimitedList)
       15    0.000    0.000    0.000    0.000 argparse.py:596(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:1005(time)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        2    0.000    0.000    0.000    0.000 pyparsing.py:501(<listcomp>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:736(Thread)
        1    0.000    0.000    0.000    0.000 x86.py:24(X86Op)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1876(IPv6Address)
        4    0.000    0.000    0.000    0.000 argparse.py:2287(_get_value)
        1    0.000    0.000    0.000    0.000 tarfile.py:717(TarInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 client.py:228(HTTPResponse)
        4    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 client.py:107(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 elf.py:205(ELF)
       10    0.000    0.000    0.000    0.000 version.py:261(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        2    0.000    0.000    0.001    0.000 __init__.py:2548(from_filename)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 datetime.py:1030(__new__)
       15    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       12    0.000    0.000    0.000    0.000 {method 'groupdict' of '_sre.SRE_Match' objects}
        1    0.000    0.000    0.001    0.001 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 warnings.py:38(filterwarnings)
        2    0.000    0.000    0.001    0.000 abc.py:151(register)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:892(__init__)
        1    0.000    0.000    0.002    0.002 _structures.py:4(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:3323(<genexpr>)
        8    0.000    0.000    0.001    0.000 pyparsing.py:3423(<genexpr>)
        1    0.000    0.000    0.000    0.000 core.py:23(Core)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        1    0.000    0.000    0.002    0.002 __init__.py:10(<module>)
        5    0.000    0.000    0.000    0.000 functools.py:391(lru_cache)
        4    0.000    0.000    0.002    0.000 pyparsing.py:2358(setResultsName)
        1    0.000    0.000    0.000    0.000 options.py:44(__rangeOption)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2178(__init__)
        1    0.000    0.000    0.012    0.012 linecache.py:6(<module>)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:592(get)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1245(IPv4Address)
        1    0.000    0.000    0.002    0.002 binary.py:17(__init__)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 six.py:469(Module_six_moves_urllib)
